symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct
BTC/USDT,long,"(1, np.float64(1000.0), np.float64(67634.47419))",2024-04-08 18:00:00+00:00,67634.47,71886.32,61.87,0.0629
ETH/USDT,short,"(-1, np.float64(899.8800039992002), np.float64(3326.03466))",2024-04-08 18:00:00+00:00,3326.03,3692.74,-100.11,-0.1103
ETH/USDT,long,"(1, np.float64(906.1070912463343), np.float64(3692.7383999999997))",2024-04-11 18:00:00+00:00,3692.74,3504.32,-47.14,-0.051
BTC/USDT,long,"(1, np.float64(812.5680656828443), np.float64(70112.249646))",2024-04-23 18:00:00+00:00,70112.25,66774.32,-39.5,-0.0476
SOL/USDT,short,"(-1, np.float64(905.2656874085084), np.float64(179.934006))",2024-04-23 18:00:00+00:00,179.93,159.19,103.45,0.1153
ETH/USDT,short,"(-1, np.float64(906.9840529906262), np.float64(3228.814108))",2024-04-26 18:00:00+00:00,3228.81,3153.42,20.27,0.0234
SOL/USDT,long,"(1, np.float64(816.1768059765427), np.float64(159.191832))",2024-04-26 18:00:00+00:00,159.19,144.05,-78.44,-0.0951
ETH/USDT,long,"(1, np.float64(819.3033803715342), np.float64(3153.420558))",2024-05-05 18:00:00+00:00,3153.42,3139.27,-4.5,-0.0045
SOL/USDT,short,"(-1, np.float64(827.864723526226), np.float64(144.051184))",2024-05-05 18:00:00+00:00,144.05,146.2,-13.17,-0.0149
SOL/USDT,long,"(1, np.float64(824.2008421404757), np.float64(146.199234))",2024-05-14 18:00:00+00:00,146.2,143.86,-14.0,-0.016
BTC/USDT,long,"(1, np.float64(829.719582637633), np.float64(61444.63647))",2024-05-17 18:00:00+00:00,61444.64,66791.84,71.38,0.087
ETH/USDT,short,"(-1, np.float64(824.9641658363664), np.float64(3139.2720200000003))",2024-05-23 18:00:00+00:00,3139.27,3777.5,-168.54,-0.2033
SOL/USDT,long,"(1, np.float64(913.842025893422), np.float64(168.19363199999998))",2024-05-23 18:00:00+00:00,168.19,171.87,19.04,0.0218
BTC/USDT,short,"(-1, np.float64(806.2622663323655), np.float64(67389.45941200001))",2024-05-26 18:00:00+00:00,67389.46,68808.21,-17.78,-0.0211
SOL/USDT,short,"(-1, np.float64(906.7879685564), np.float64(161.79763400000002))",2024-05-29 18:00:00+00:00,161.8,169.52,-44.21,-0.0478
BTC/USDT,short,"(-1, np.float64(809.9908195035938), np.float64(67385.460212))",2024-06-04 18:00:00+00:00,67385.46,70725.43,-40.96,-0.0496
ETH/USDT,long,"(1, np.float64(725.5392850014747), np.float64(3777.495348))",2024-06-13 18:00:00+00:00,3777.5,3474.71,-58.88,-0.0802
BTC/USDT,long,"(1, np.float64(812.2129146840189), np.float64(66871.901706))",2024-06-19 18:00:00+00:00,66871.9,64958.0,-24.06,-0.0286
ETH/USDT,long,"(1, np.float64(888.1176629842081), np.float64(3555.470952))",2024-06-22 18:00:00+00:00,3555.47,3492.92,-16.51,-0.0176
BTC/USDT,long,"(1, np.float64(799.537492332593), np.float64(64278.363102))",2024-06-25 18:00:00+00:00,64278.36,62142.66,-27.36,-0.0332
SOL/USDT,short,"(-1, np.float64(897.4205718334687), np.float64(169.826028))",2024-06-25 18:00:00+00:00,169.83,139.24,160.74,0.1801
ETH/USDT,long,"(1, np.float64(802.3431105642313), np.float64(3418.223508))",2024-06-28 18:00:00+00:00,3418.22,3384.28,-8.77,-0.0099
BTC/USDT,short,"(-1, np.float64(802.8679166424427), np.float64(62142.658982))",2024-07-04 18:00:00+00:00,62142.66,58175.26,50.45,0.0638
SOL/USDT,long,"(1, np.float64(892.7350036340526), np.float64(141.768348))",2024-07-04 18:00:00+00:00,141.77,134.05,-49.48,-0.0544
BTC/USDT,long,"(1, np.float64(801.9762103197811), np.float64(58175.26272599999))",2024-07-07 18:00:00+00:00,58175.26,57153.8,-14.88,-0.0176
SOL/USDT,short,"(-1, np.float64(801.8738310256508), np.float64(134.05318400000002))",2024-07-07 18:00:00+00:00,134.05,138.02,-24.52,-0.0296
ETH/USDT,short,"(-1, np.float64(887.1440086777275), np.float64(2987.5723660000003))",2024-07-13 18:00:00+00:00,2987.57,3153.57,-50.18,-0.0556
BTC/USDT,short,"(-1, np.float64(794.3854020181406), np.float64(58626.87228))",2024-07-16 18:00:00+00:00,58626.87,64812.81,-84.61,-0.1055
ETH/USDT,short,"(-1, np.float64(887.5817957252399), np.float64(3462.0774460000002))",2024-08-03 18:00:00+00:00,3462.08,2904.98,141.94,0.1609
SOL/USDT,long,"(1, np.float64(798.3231469796276), np.float64(138.017598))",2024-08-03 18:00:00+00:00,138.02,141.61,19.99,0.026
SOL/USDT,short,"(-1, np.float64(809.657121456614), np.float64(141.611672))",2024-08-06 18:00:00+00:00,141.61,146.12,-26.58,-0.0318
BTC/USDT,long,"(1, np.float64(801.2208172545234), np.float64(60255.618714))",2024-08-09 18:00:00+00:00,60255.62,60301.7,-0.19,0.0008
SOL/USDT,long,"(1, np.float64(883.7952581734548), np.float64(153.44068199999998))",2024-08-12 18:00:00+00:00,153.44,142.96,-61.24,-0.0683
ETH/USDT,short,"(-1, np.float64(801.1162829664097), np.float64(2499.629974))",2024-08-15 18:00:00+00:00,2499.63,2554.59,-18.42,-0.022
BTC/USDT,long,"(1, np.float64(787.8342859462393), np.float64(58539.55557))",2024-08-24 18:00:00+00:00,58539.56,64213.92,75.58,0.0969
SOL/USDT,short,"(-1, np.float64(878.8785241782995), np.float64(138.602274))",2024-08-24 18:00:00+00:00,138.6,161.49,-146.02,-0.1651
ETH/USDT,short,"(-1, np.float64(863.6482581959461), np.float64(2783.673154))",2024-08-30 18:00:00+00:00,2783.67,2536.47,75.83,0.0888
SOL/USDT,long,"(1, np.float64(777.1797911300838), np.float64(161.492292))",2024-08-30 18:00:00+00:00,161.49,137.04,-118.44,-0.1514
BTC/USDT,long,"(1, np.float64(783.1130809770065), np.float64(59388.505326))",2024-09-08 18:00:00+00:00,59388.51,54406.84,-66.47,-0.0839
SOL/USDT,short,"(-1, np.float64(790.9705275544615), np.float64(137.042586))",2024-09-08 18:00:00+00:00,137.04,128.82,46.69,0.06
SOL/USDT,long,"(1, np.float64(779.1739565835517), np.float64(128.815758))",2024-09-11 18:00:00+00:00,128.82,132.22,19.83,0.0265
ETH/USDT,short,"(-1, np.float64(865.8642930698556), np.float64(2275.574794))",2024-09-17 18:00:00+00:00,2275.57,2350.32,-29.31,-0.0328
BTC/USDT,long,"(1, np.float64(779.9242488258327), np.float64(57511.329966))",2024-09-20 18:00:00+00:00,57511.33,62855.97,71.7,0.0929
